initial_n,final_n,series_name,line_name,ideal_energy_ev,corrected_energy_ev,ideal_frequency_hz,corrected_frequency_hz,ideal_wavelength_nm,corrected_wavelength_nm,wavelength_shift_nm,wavelength_shift_pm,relative_shift
10,4,Brackett,,0.714298888957002,0.7139100813748728,172716702913124.06,172622689658041.1,1735.7467630145456,1736.6920802466777,0.9453172321320835,945.3172321320835,0.0005446170214889588
6,5,Pfund,Pfund-alpha,0.16629180483655076,0.1662012887856847,40209179514166.445,40187292830443.43,7455.821322948843,7459.8818901505,4.06056720165725,4060.56720165725,0.0005446170214888224
7,5,Pfund,Pfund-beta,0.26656051832797745,0.2664154239533053,64454046568162.914,64418962904458.484,4651.258904015541,4653.792058786019,2.533154770478177,2533.154770478177,0.0005446170214887942
8,5,Pfund,Pfund-gamma,0.3316387698728938,0.3314582520669052,80189897781093.31,80146248769804.8,3738.53148956979,3740.567557454382,2.03606788459183,2036.06788459183,0.0005446170214888653
9,5,Pfund,Pfund-delta,0.3762562048827007,0.3760514008888219,90978345567406.9,90928824182013.4,3295.2067454104263,3297.0013710933017,1.7946256828754485,1794.6256828754485,0.0005446170214888666
10,5,Pfund,,0.4081707936897154,0.4079486179284987,98695258807499.44,98641536947452.03,3037.556835275455,3039.211140431686,1.654305156231203,1654.305156231203,0.0005446170214889775
7,6,Humphreys,Humphreys-alpha,0.1002687134914267,0.10021413516762062,24244867053996.465,24231670074015.055,12365.192901752082,12371.92719628037,6.734294528288956,6734.294528288956,0.0005446170214889848
8,6,Humphreys,Humphreys-beta,0.16534696503634302,0.1652569632812205,39980718266926.85,39958955939361.35,7498.426016222838,7502.509786665649,4.083770442810419,4083.770442810419,0.0005446170214889345
9,6,Humphreys,Humphreys-gamma,0.2099644000461499,0.2098501121031372,50769166053240.45,50741531351569.98,5905.010487775485,5908.226456999198,3.2159692237128183,3215.9692237128183,0.000544617021488869
10,6,Humphreys,Humphreys-delta,0.24187898885316464,0.241747329142814,58486079293332.99,58454244117008.6,5125.877159527332,5128.668799478471,2.791639951138677,2791.639951138677,0.000544617021488689
8,7,n_f=7 series,,0.06507825154491634,0.06504282811359989,15735851212930.39,15727285865346.3,19051.55647084766,19061.93227278754,10.375801939881057,10375.801939881057,0.0005446170214889224
9,7,n_f=7 series,,0.10969568655472321,0.10963597693551656,26524298999243.99,26509861277554.92,11302.559136757764,11308.714702850028,6.155566092264053,6155.566092264053,0.0005446170214889784
10,7,n_f=7 series,,0.14161027536173798,0.1415331939751934,34241212239336.535,34222574042993.56,8755.310878146902,8760.079169479566,4.768291332664376,4768.291332664376,0.0005446170214887452
9,8,n_f=8 series,,0.04461743500980687,0.044593148821916666,10788447786313.6,10782575412208.623,27788.284648355213,27803.418621172685,15.133972817471658,15133.972817471658,0.0005446170214888538
10,8,n_f=8 series,,0.07653202381682164,0.07649036586159351,18505361026406.145,18495288177647.254,16200.303121469091,16209.126082302324,8.822960833233083,8822.960833233083,0.0005446170214889775
10,9,n_f=9 series,,0.031914588807014775,0.031897217039676844,7716913240092.546,7712712765438.634,38848.75320904925,38869.91090131052,21.157692261265765,21157.692261265765,0.0005446170214887975
